dt error
1.010101010101010083e-01 2.199020887605485086e-05
4.672897196261682068e-02 1.002831306884388596e-06
2.159827213822894040e-02 4.573178502553787439e-08
1.001001001001000992e-02 2.109679098083461213e-09
4.644681839294008754e-03 9.779954623923003965e-11
2.155172413793103418e-03 4.540812170716890250e-12
1.000100010001000106e-03 2.331468351712828735e-13
4.641879032632409701e-04 2.220446049250313081e-14
2.154522342396690668e-04 2.220446049250313081e-14
1.000010000100001051e-04 0.000000000000000000e+00
